dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
ZNF629,36028,16414707,9426,2398,7028,31646,6360,25286
ZNF639,21764,20082659,13644,3075,10569,23899,4885,19014
ZNF644,44254,21302937,10374,2842,7532,36851,8985,27866
ZNF652,16866,12464283,6431,1635,4796,16293,3522,12771
ZNF660,3980,2873632,3869,859,3010,4872,945,3927
ZNF674,2305,1360637,2530,568,1962,2972,562,2410
ZNF678,6339,6368894,6464,1392,5072,8161,1622,6539
ZNF687,91307,125053969,21580,6594,14986,84798,15772,69026
ZNF691,27687,29764459,13998,3361,10637,28373,6012,22361
ZNF697,20240,14776287,13554,3019,10535,21944,4278,17666
ZNF709,10586,8744622,9565,2096,7469,12921,2563,10358
ZNF710,19660,18827127,10835,2586,8249,20532,4463,16069
ZNF713,7029,5275321,6112,1331,4781,8297,1557,6740
ZNF720,11912,8439646,9376,2064,7312,13385,2644,10741
ZNF737,12215,11847959,5861,1484,4377,11623,2644,8979
ZNF740,8712,5101651,6608,1491,5117,9695,1773,7922
ZNF761,18373,14539879,12177,2719,9458,20026,4119,15907
ZNF766,5208,5456697,4913,1101,3812,6555,1375,5180
ZNF768,49676,87588468,18387,5042,13345,48399,9705,38694
ZNF772,15364,12124812,10620,2347,8273,17199,3488,13711
ZNF773,2027,1749051,2029,459,1570,2548,500,2048
ZNF775,3324,2220748,2598,610,1988,3768,842,2926
ZNF776,8674,8758668,8738,1911,6827,11100,2131,8969
ZNF777,15341,14099536,13402,2909,10493,18227,3593,14634
ZNF781,25603,31815717,14753,3462,11291,27168,5574,21594
ZNF782,21534,23401453,14009,3207,10802,23413,4720,18693
ZNF784,29366,36240426,14347,3449,10898,30284,6497,23787
ZNF786,33504,41389373,14865,3625,11240,33184,7131,26053
ZNF788,11452,14996581,9637,2173,7464,13997,2891,11106
ZNF792,36305,27356764,15358,3734,11624,35343,7509,27834
ZNF800,17502,13782787,12063,2817,9246,18831,4002,14829
ZNF83,5452,14551262,5794,1304,4490,7687,1582,6105
ZNF839,5770,14028575,5895,1324,4571,7935,1633,6302
ZNF883,35180,68063461,16364,4184,12180,35877,7660,28217
ZNF891,62647,71812089,18979,5199,13780,58085,11053,47032
ZSCAN20,8212,5784095,7772,1666,6106,9970,1893,8077
ZSCAN22,4248,2681492,3086,742,2344,4657,978,3679
ZSCAN29,19398,14496911,10738,2570,8168,20026,4295,15731
ZSCAN31,15581,13371183,11764,2593,9171,17996,3632,14364
ZSCAN9,38233,30564443,14970,3652,11318,36805,7930,28875
ZXDC,2239,2768470,2102,512,1590,2841,600,2241
ZZZ3,9305,6944165,8727,1866,6861,11520,2207,9313
